House_ID,House_Name,Location,BHK,Monthly_Rent,Area_sqft,Furnishing_Status,Floor_Type,Parking_Available,Distance_to_Metro_km,Amenities_Score,Listed_Date,Target_Tenant,Rating
1,Budget Homes 36,Koramangala,3bhk,32000.26,1252.2,UNFURNISHED,Ground Floor,No,1.77,6.9,17-05-2025,any,3.1
2,Metro View 18,Electronic City,1BHK,27356.62,2407.3,unfurnished,Ground Floor,YES,9.11,2.8,02-02-2025,Family,3.1
3,Royal Residency 20,BTM Layout,2BHK,26289.82,832.5,Semi-Furnished,Mid Rise,no,7.8,2,21-04-2027,bachelor,1.4
4,Comfort Villa 92,indiranagar,2bhk,10636.48,1080.6,semi-furnished,low rise,No,8.99,1.4,20-06-2025,Family,2
5,Budget Homes 90,btm layout,3 BHK,32367.23,1479.5,unfurnished,GROUND FLOOR,YES,4.53,2.5,03-04-2026,BACHELOR,4.9
6,Lake View Residency 80,jayanagar,3bhk,32082.86,1895.8,semi-furnished,Mid Rise,NO,2.12,1.3,19-04-2025,family,6.5
7,Urban Heights 11,indiranagar,3 BHK,27400.97,2179.4,semi-furnished,low rise,No,4.38,6.3,08-01-2025,bachelor,4.9
8,Sunshine Residency 45,JP NAGAR,3bhk,43942.61,2035,furnished,Low Rise,no,4.68,3.3,04-May-26,Bachelor,4
9,Royal Residency 9,electronic city,2bhk,20863.19,1938.6,unfurnished,Mid Rise,YES,7.39,6.4,08-03-2026,BACHELOR,2.2
10,Royal Residency 25,jayanagar,3BHK,30404.81,2882.3,Furnished,low rise,No,8.14,5.7,13-09-2026,bachelor,4.1
11,Royal Residency 45,HSR Layout,2BHK,16847.42,1624.1,semi-furnished,Low Rise,no,9.25,1.5,31-05-2027,any,2.8
12,Sunshine Residency 78,Whitefield,3BHK,33616.53,528.8,unfurnished,GROUND FLOOR,YES,3.25,1.5,16-06-2025,BACHELOR,4.8
13,Urban Heights 66,jayanagar,2bhk,23414.85,1431.2,Furnished,Mid Rise,No,7.03,6.8,25-10-2025,BACHELOR,4.9
14,Royal Residency 28,btm layout,4 BHK,41624.31,2018.3,Semi-Furnished,HIGH RISE,Yes,0.88 km,3.6,18-03-2027,BACHELOR,7.6
15,Royal Residency 70,Jayanagar,1bhk,16183.78,480.8,furnished,High Rise,No,4.3,6.3,19-07-2026,BACHELOR,
16,Sunshine Residency 52,btm layout,3BHK,32040.64,1347.9,UNFURNISHED,HIGH RISE,yes,4.99,6.6,24-Dec-26,Any,3.8
17,Sunshine Residency 82,HSR Layout,3BHK,38000.63,438,FURNISHED,low rise,YES,0.79,1.5,17-Feb-26,Any,1.8
18,Royal Residency 50,Indiranagar,2bhk,29901.87,1686.1,UNFURNISHED,Mid Rise,Yes,7.08,2.5,24-02-2025,any,4.9
19,Urban Heights 5,WHITEFIELD,1 BHK,20634.3,2114.2,unfurnished,Low Rise,NO,9.32,9.9,17-07-2025,Family,2.7
20,Comfort Villa 94,btm layout,4 BHK,35375.53,738.5,UNFURNISHED,low rise,No,8.57,,27-08-2026,Bachelor,3.4
21,City Homes 65,indiranagar,3bhk,31355.75,1456.9,semi-furnished,GROUND FLOOR,Yes,7.05,9.1,17-Jun-26,bachelor,3.4
22,Metro View 51,indiranagar,2 BHK,24987.7,1877.2,unfurnished,Low Rise,no,4.55,9.1,04-Apr-26,any,2.8
23,Metro View 29,  WHITEFIELD  ,2BHK,13310.11,470.5,semi-furnished,HIGH RISE,yes,1.77,4.4,27-11-2026,Any,
24,Urban Heights 33,KORAMANGALA,1 BHK,11253.13,1022,unfurnished,GROUND FLOOR,yes,6.61,1.4,27-02-2025,Family,3.7
25,Urban Heights 75,KORAMANGALA,1BHK,14323.71,413,unfurnished,HIGH RISE,yes,7.62,2.7,21-03-2025,Bachelor,2.2
26,Metro View 83,Koramangala,2BHK,16744.78,1856,FURNISHED,HIGH RISE,Yes,4.6,2.6,23-Jul-25,Bachelor,4.6
27,Comfort Villa 1,Koramangala,2BHK,30220.32,2195.7,Unfurnished,High Rise,Yes,9.2,6.4,08-Mar-26,BACHELOR,4.2
28,City Homes 32,BTM Layout,4 BHK,39087.96,1790.9,Furnished,Low Rise,NO,7.06,3.5,02-05-2025,Bachelor,4
29,Budget Homes 9,HSR Layout,3 BHK,25290.32,2396.1,Unfurnished,low rise,No,3.56,2.5,09-Sep-26,any,3.6
30,Lake View Residency 9,Hebbal,3BHK,24026.29,2096.7,Unfurnished,HIGH RISE,NO,7.11,9,18-05-2027,bachelor,4.5
31,Urban Heights 7,KORAMANGALA,3bhk,35801.91,2830.5,FURNISHED,Mid Rise,yes,5.93,1.5,01-08-2026,family,3.3
32,Lake View Residency 60,electronic city,4 BHK,50320.95,1676.4,FURNISHED,ground floor,Yes,0.75,6.4,01-02-2026,BACHELOR,2.3
33,City Homes 56,Marathahalli,2 BHK,25814.35,2399.7,semi-furnished,Low Rise,Yes,5.55,3.1,04-04-2026,Bachelor,4.1
34,Comfort Villa 23,indiranagar,3BHK,27490.17,2025.4,Unfurnished,Ground Floor,YES,5.98,9.3,25-06-2027,FAMILY,1.6
35,Royal Residency 66,HSR Layout,1 BHK,8812.13,1804.3,Unfurnished,ground floor,no,4.94,,09-04-2026,family,1.9
36,Urban Heights 67,Whitefield,3 BHK,39514.03,632.1,furnished,GROUND FLOOR,Yes,9.67,8.1,22-03-2025,FAMILY,3
37,Elite Apartments 7,Koramangala,2 BHK,17885.36,2836,Unfurnished,Mid Rise,Yes,,1.7,21-Jan-26,family,4.5
38,City Homes 42,Marathahalli,2BHK,24467.94,2329.9,Furnished,Ground Floor,yes,3.58,,18-06-2027,any,3
39,Comfort Villa 82,KORAMANGALA,2BHK,20129.1,2603.3,Furnished,ground floor,YES,4.03,8.4,07-04-2026,BACHELOR,4.7
40,Sunshine Residency 9,electronic city,2bhk,11034.01,529.1,FURNISHED,High Rise,YES,7.74,3.1,21-12-2026,BACHELOR,1.8
41,Metro View 73,JP NAGAR,1BHK,15432.31,2386.6,FURNISHED,Low Rise,Yes,6.38,8.2,20-03-2026,Bachelor,1.3
42,Royal Residency 82,JP NAGAR,1bhk,10147.02,1679.1,Unfurnished,GROUND FLOOR,No,5.62,6.7,01-03-2025,FAMILY,4.5
43,Sunshine Residency 29,WHITEFIELD,1 BHK,14095.39,1998.1,Semi-Furnished,Mid Rise,no,4.34,9.1,05-09-2026,FAMILY,2.1
44,Budget Homes 55,  Koramangala  ,2BHK,22427.45,1478.4,Unfurnished,High Rise,no,6.82 km,6.1,12-02-2027,FAMILY,2.4
45,Comfort Villa 28,Indiranagar,2 BHK,23328.87,2253.1,furnished,Low Rise,YES,6.18,6.5,18-May-25,Any,4.1
46,Green Park Apartments 62,jayanagar,1 BHK,9119.95,1957.4,Semi-Furnished,Low Rise,Yes,0.96,8.5,21-11-2025,Family,3.4
47,Budget Homes 99,Whitefield,3bhk,28035.42,672.6,furnished,HIGH RISE,no,0.23,1,03-05-2027,FAMILY,3.1
48,Elite Apartments 32,btm layout,2BHK,,989.9,Semi-Furnished,ground floor,NO,9.05,6.8,26-Mar-25,bachelor,9.4
49,Elite Apartments 98,electronic city,3bhk,31358.98,2408.4,semi-furnished,Low Rise,no,7.93,4.8,28-04-2025,BACHELOR,4.4
50,Elite Apartments 55,Marathahalli,2bhk,17545.62,574.1,FURNISHED,High Rise,NO,7.59,9,23-01-2027,Bachelor,2.5
51,Comfort Villa 92,btm layout,1bhk,19271.71,1719.8,Furnished,GROUND FLOOR,YES,0.35,4.4,06-06-2027,any,2.2
52,Royal Residency 47,electronic city,1 BHK,8962.26,2454.2,FURNISHED,Low Rise,yes,4.7,2.2,01-10-2026,FAMILY,4.5
53,Sunshine Residency 91,Koramangala,4 BHK,50212.31,2600.9,unfurnished,Ground Floor,YES,6,2.9,13-07-2025,Bachelor,3
54,Green Park Apartments 14,btm layout,2BHK,10,1904.6,UNFURNISHED,Mid Rise,YES,2.4,1.4,06-Mar-25,Bachelor,5
55,Metro View 60,indiranagar,1BHK,14334.28,746.3,UNFURNISHED,low rise,no,8.83,7.1,16-05-2026,any,1.6
56,Comfort Villa 54,electronic city,3 BHK,27381.57,1641.2,furnished,low rise,yes,7.61,2.1,29-04-2027,Bachelor,4.8
57,Urban Heights 10,KORAMANGALA,2BHK,27514.58,2424.2,Semi-Furnished,High Rise,No,0.92,3.8,11-06-2027,FAMILY,1.5
58,Elite Apartments 9,Hebbal,1BHK,12760.37,1449,unfurnished,Ground Floor,no,9.66 km,8.2,24-04-2025,Family,1.3
59,Metro View 68,btm layout,2bhk,12661.71,1620.5,UNFURNISHED,HIGH RISE,no,7.76,1.8,04-04-2027,Family,3.4
60,Metro View 66,electronic city,2 BHK,25316.55,2365.7,UNFURNISHED,Low Rise,NO,1.44,6.8,15-Jun-26,bachelor,4.2
61,Comfort Villa 85,btm layout,1 BHK,14116.23,411.8,Furnished,Mid Rise,yes,8.35,8.3,04-07-2026,FAMILY,1.4
62,Budget Homes 42,Indiranagar,3 BHK,32673.61,2963.1,Unfurnished,low rise,NO,5.85,3.8,09-Aug-26,Bachelor,2.5
